COD MUNIC.,UF,MUNICIPIO,COMARCA
3500105,SP,ADAMANTINA,ADAMANTINA
3516002,SP,FLORIDA PAULISTA,ADAMANTINA
3528908,SP,MARIAPOLIS,ADAMANTINA
3533205,SP,NOVA INDEPENDENCIA,ADAMANTINA
3500303,SP,AGUAI,AGUAI
3500501,SP,AGUAS DE LINDOIA,AGUAS DE LINDOIA
3527009,SP,LINDOIA,ÁGUAS DE LINDÓIA
3500709,SP,AGUDOS,AGUDOS
3536570,SP,PAULISTANIA,AGUDOS
3501004,SP,ALTINOPOLIS,ALTINOPOLIS
3547908,SP,SANTO ANTONIO DA ALEGRIA,ALTINÓPOLIS
3501608,SP,AMERICANA,AMERICANA
3501905,SP,AMPARO,AMPARO
3531209,SP,MONTE ALEGRE DO SUL,AMPARO
3502101,SP,ANDRADINA,ANDRADINA
3511003,SP,CASTILHO,ANDRADINA
3532108,SP,MURUTINGA DO SUL,ANDRADINA
3502200,SP,ANGATUBA,ANGATUBA
3509452,SP,CAMPINA DO MONTE ALEGRE,ANGATUBA
3502507,SP,APARECIDA,APARECIDA
3540754,SP,POTIM,APARECIDA
3544301,SP,ROSEIRA,APARECIDA
3502705,SP,APIAI,APIAI
3505351,SP,BARRA DO CHAPEU,APIAI
3522158,SP,ITAOCA,APIAÍ
3522653,SP,ITAPIRAPUA PAULISTA,APIAÍ
3542800,SP,RIBEIRA,APIAÍ
3502804,SP,ARACATUBA,ARACATUBA
3548054,SP,SANTO ANTONIO DO ARACANGUA,ARAÇATUBA
3501707,SP,AMERICO BRASILIENSE,ARARAQUARA
3503208,SP,ARARAQUARA,ARARAQUARA
3516853,SP,GAVIAO PEIXOTO,ARARAQUARA
3532058,SP,MOTUCA,ARARAQUARA
3532900,SP,NOVA EUROPA,ARARAQUARA
3543709,SP,RINCAO,ARARAQUARA
3546900,SP,SANTA LUCIA,ARARAQUARA
3503307,SP,ARARAS,ARARAS
3504008,SP,ASSIS,ASSIS
3514700,SP,ECHAPORA,ASSIS
3516101,SP,FLORINIA,ASSIS
3553955,SP,TARUMA,ASSIS
3504107,SP,ATIBAIA,ATIBAIA
3507100,SP,BOM JESUS DOS PERDOES,ATIBAIA
3525201,SP,JARINU,ATIBAIA
3532405,SP,NAZARE PAULISTA,ATIBAIA
3504206,SP,AURIFLAMA,AURIFLAMA
3518909,SP,GUZOLANDIA,AURIFLAMA
3503109,SP,ARANDU,AVARE
3504503,SP,AVARE,AVARE
3535804,SP,PARANAPANEMA,AVARÉ
3503158,SP,ARAPEI,BANANAL
3504909,SP,BANANAL,BANANAL
3549607,SP,SAO JOSE DO BARREIRO,BANANAL
3505203,SP,BARIRI,BARIRI
3522000,SP,ITAJU,BARIRI
